Universe,Decision 1,Value 1,Decision 2,Value 2,Decision 3,Value 3,Decision 4,Value 4,Decision 5,Value 5,Decision 6,Value 6
Universe_22,pipeline,cpac,parcellation,rois_cc200,band_pass,True,global_signal,False,connectivity,pearson,regularisation,1.0
Universe_23,pipeline,cpac,parcellation,rois_cc200,band_pass,True,global_signal,False,connectivity,partial,regularisation,0.25
Universe_24,pipeline,cpac,parcellation,rois_cc200,band_pass,True,global_signal,False,connectivity,partial,regularisation,1.0
Universe_25,pipeline,cpac,parcellation,rois_cc200,band_pass,False,global_signal,True,connectivity,pearson,regularisation,0.25
Universe_26,pipeline,cpac,parcellation,rois_cc200,band_pass,False,global_signal,True,connectivity,pearson,regularisation,1.0
Universe_27,pipeline,cpac,parcellation,rois_cc200,band_pass,False,global_signal,True,connectivity,partial,regularisation,0.25
Universe_28,pipeline,cpac,parcellation,rois_cc200,band_pass,False,global_signal,True,connectivity,partial,regularisation,1.0
Universe_29,pipeline,cpac,parcellation,rois_cc200,band_pass,False,global_signal,False,connectivity,pearson,regularisation,0.25
Universe_30,pipeline,cpac,parcellation,rois_cc200,band_pass,False,global_signal,False,connectivity,pearson,regularisation,1.0
Universe_31,pipeline,cpac,parcellation,rois_cc200,band_pass,False,global_signal,False,connectivity,partial,regularisation,0.25
Universe_32,pipeline,cpac,parcellation,rois_cc200,band_pass,False,global_signal,False,connectivity,partial,regularisation,1.0
Universe_33,pipeline,cpac,parcellation,rois_dosenbach160,band_pass,True,global_signal,True,connectivity,pearson,regularisation,0.25
Universe_34,pipeline,cpac,parcellation,rois_dosenbach160,band_pass,True,global_signal,True,connectivity,pearson,regularisation,1.0
Universe_35,pipeline,cpac,parcellation,rois_dosenbach160,band_pass,True,global_signal,True,connectivity,partial,regularisation,0.25
Universe_36,pipeline,cpac,parcellation,rois_dosenbach160,band_pass,True,global_signal,True,connectivity,partial,regularisation,1.0
Universe_37,pipeline,cpac,parcellation,rois_dosenbach160,band_pass,True,global_signal,False,connectivity,pearson,regularisation,0.25
Universe_38,pipeline,cpac,parcellation,rois_dosenbach160,band_pass,True,global_signal,False,connectivity,pearson,regularisation,1.0
Universe_39,pipeline,cpac,parcellation,rois_dosenbach160,band_pass,True,global_signal,False,connectivity,partial,regularisation,0.25
Universe_40,pipeline,cpac,parcellation,rois_dosenbach160,band_pass,True,global_signal,False,connectivity,partial,regularisation,1.0
Universe_41,pipeline,cpac,parcellation,rois_dosenbach160,band_pass,False,global_signal,True,connectivity,pearson,regularisation,0.25
Universe_42,pipeline,cpac,parcellation,rois_dosenbach160,band_pass,False,global_signal,True,connectivity,pearson,regularisation,1.0
Universe_43,pipeline,cpac,parcellation,rois_dosenbach160,band_pass,False,global_signal,True,connectivity,partial,regularisation,0.25
Universe_44,pipeline,cpac,parcellation,rois_dosenbach160,band_pass,False,global_signal,True,connectivity,partial,regularisation,1.0
Universe_45,pipeline,cpac,parcellation,rois_dosenbach160,band_pass,False,global_signal,False,connectivity,pearson,regularisation,0.25
Universe_46,pipeline,cpac,parcellation,rois_dosenbach160,band_pass,False,global_signal,False,connectivity,pearson,regularisation,1.0
Universe_47,pipeline,cpac,parcellation,rois_dosenbach160,band_pass,False,global_signal,False,connectivity,partial,regularisation,0.25
Universe_48,pipeline,cpac,parcellation,rois_dosenbach160,band_pass,False,global_signal,False,connectivity,partial,regularisation,1.0
Universe_49,pipeline,ccs,parcellation,rois_aal,band_pass,True,global_signal,True,connectivity,pearson,regularisation,0.25
Universe_50,pipeline,ccs,parcellation,rois_aal,band_pass,True,global_signal,True,connectivity,pearson,regularisation,1.0
Universe_51,pipeline,ccs,parcellation,rois_aal,band_pass,True,global_signal,True,connectivity,partial,regularisation,0.25
Universe_52,pipeline,ccs,parcellation,rois_aal,band_pass,True,global_signal,True,connectivity,partial,regularisation,1.0
Universe_53,pipeline,ccs,parcellation,rois_aal,band_pass,True,global_signal,False,connectivity,pearson,regularisation,0.25
Universe_54,pipeline,ccs,parcellation,rois_aal,band_pass,True,global_signal,False,connectivity,pearson,regularisation,1.0
Universe_55,pipeline,ccs,parcellation,rois_aal,band_pass,True,global_signal,False,connectivity,partial,regularisation,0.25
Universe_56,pipeline,ccs,parcellation,rois_aal,band_pass,True,global_signal,False,connectivity,partial,regularisation,1.0
Universe_57,pipeline,ccs,parcellation,rois_aal,band_pass,False,global_signal,True,connectivity,pearson,regularisation,0.25
Universe_58,pipeline,ccs,parcellation,rois_aal,band_pass,False,global_signal,True,connectivity,pearson,regularisation,1.0
Universe_59,pipeline,ccs,parcellation,rois_aal,band_pass,False,global_signal,True,connectivity,partial,regularisation,0.25
Universe_60,pipeline,ccs,parcellation,rois_aal,band_pass,False,global_signal,True,connectivity,partial,regularisation,1.0
Universe_61,pipeline,ccs,parcellation,rois_aal,band_pass,False,global_signal,False,connectivity,pearson,regularisation,0.25
Universe_62,pipeline,ccs,parcellation,rois_aal,band_pass,False,global_signal,False,connectivity,pearson,regularisation,1.0
Universe_63,pipeline,ccs,parcellation,rois_aal,band_pass,False,global_signal,False,connectivity,partial,regularisation,0.25
Universe_64,pipeline,ccs,parcellation,rois_aal,band_pass,False,global_signal,False,connectivity,partial,regularisation,1.0
Universe_65,pipeline,ccs,parcellation,rois_cc200,band_pass,True,global_signal,True,connectivity,pearson,regularisation,0.25
Universe_66,pipeline,ccs,parcellation,rois_cc200,band_pass,True,global_signal,True,connectivity,pearson,regularisation,1.0
Universe_67,pipeline,ccs,parcellation,rois_cc200,band_pass,True,global_signal,True,connectivity,partial,regularisation,0.25
Universe_68,pipeline,ccs,parcellation,rois_cc200,band_pass,True,global_signal,True,connectivity,partial,regularisation,1.0
Universe_69,pipeline,ccs,parcellation,rois_cc200,band_pass,True,global_signal,False,connectivity,pearson,regularisation,0.25
Universe_70,pipeline,ccs,parcellation,rois_cc200,band_pass,True,global_signal,False,connectivity,pearson,regularisation,1.0
Universe_71,pipeline,ccs,parcellation,rois_cc200,band_pass,True,global_signal,False,connectivity,partial,regularisation,0.25
Universe_72,pipeline,ccs,parcellation,rois_cc200,band_pass,True,global_signal,False,connectivity,partial,regularisation,1.0
Universe_73,pipeline,ccs,parcellation,rois_cc200,band_pass,False,global_signal,True,connectivity,pearson,regularisation,0.25
Universe_74,pipeline,ccs,parcellation,rois_cc200,band_pass,False,global_signal,True,connectivity,pearson,regularisation,1.0
Universe_75,pipeline,ccs,parcellation,rois_cc200,band_pass,False,global_signal,True,connectivity,partial,regularisation,0.25
Universe_76,pipeline,ccs,parcellation,rois_cc200,band_pass,False,global_signal,True,connectivity,partial,regularisation,1.0
Universe_77,pipeline,ccs,parcellation,rois_cc200,band_pass,False,global_signal,False,connectivity,pearson,regularisation,0.25
Universe_78,pipeline,ccs,parcellation,rois_cc200,band_pass,False,global_signal,False,connectivity,pearson,regularisation,1.0
Universe_79,pipeline,ccs,parcellation,rois_cc200,band_pass,False,global_signal,False,connectivity,partial,regularisation,0.25
Universe_80,pipeline,ccs,parcellation,rois_cc200,band_pass,False,global_signal,False,connectivity,partial,regularisation,1.0
Universe_81,pipeline,ccs,parcellation,rois_dosenbach160,band_pass,True,global_signal,True,connectivity,pearson,regularisation,0.25
Universe_82,pipeline,ccs,parcellation,rois_dosenbach160,band_pass,True,global_signal,True,connectivity,pearson,regularisation,1.0
Universe_83,pipeline,ccs,parcellation,rois_dosenbach160,band_pass,True,global_signal,True,connectivity,partial,regularisation,0.25
Universe_84,pipeline,ccs,parcellation,rois_dosenbach160,band_pass,True,global_signal,True,connectivity,partial,regularisation,1.0
Universe_85,pipeline,ccs,parcellation,rois_dosenbach160,band_pass,True,global_signal,False,connectivity,pearson,regularisation,0.25
Universe_86,pipeline,ccs,parcellation,rois_dosenbach160,band_pass,True,global_signal,False,connectivity,pearson,regularisation,1.0
Universe_87,pipeline,ccs,parcellation,rois_dosenbach160,band_pass,True,global_signal,False,connectivity,partial,regularisation,0.25
Universe_88,pipeline,ccs,parcellation,rois_dosenbach160,band_pass,True,global_signal,False,connectivity,partial,regularisation,1.0
Universe_89,pipeline,ccs,parcellation,rois_dosenbach160,band_pass,False,global_signal,True,connectivity,pearson,regularisation,0.25
Universe_90,pipeline,ccs,parcellation,rois_dosenbach160,band_pass,False,global_signal,True,connectivity,pearson,regularisation,1.0
Universe_91,pipeline,ccs,parcellation,rois_dosenbach160,band_pass,False,global_signal,True,connectivity,partial,regularisation,0.25
Universe_92,pipeline,ccs,parcellation,rois_dosenbach160,band_pass,False,global_signal,True,connectivity,partial,regularisation,1.0
Universe_93,pipeline,ccs,parcellation,rois_dosenbach160,band_pass,False,global_signal,False,connectivity,pearson,regularisation,0.25
Universe_94,pipeline,ccs,parcellation,rois_dosenbach160,band_pass,False,global_signal,False,connectivity,pearson,regularisation,1.0
Universe_95,pipeline,ccs,parcellation,rois_dosenbach160,band_pass,False,global_signal,False,connectivity,partial,regularisation,0.25
Universe_96,pipeline,ccs,parcellation,rois_dosenbach160,band_pass,False,global_signal,False,connectivity,partial,regularisation,1.0
Universe_97,pipeline,dparsf,parcellation,rois_aal,band_pass,True,global_signal,True,connectivity,pearson,regularisation,0.25
Universe_98,pipeline,dparsf,parcellation,rois_aal,band_pass,True,global_signal,True,connectivity,pearson,regularisation,1.0
Universe_99,pipeline,dparsf,parcellation,rois_aal,band_pass,True,global_signal,True,connectivity,partial,regularisation,0.25
Universe_100,pipeline,dparsf,parcellation,rois_aal,band_pass,True,global_signal,True,connectivity,partial,regularisation,1.0
Universe_101,pipeline,dparsf,parcellation,rois_aal,band_pass,True,global_signal,False,connectivity,pearson,regularisation,0.25
Universe_102,pipeline,dparsf,parcellation,rois_aal,band_pass,True,global_signal,False,connectivity,pearson,regularisation,1.0
Universe_103,pipeline,dparsf,parcellation,rois_aal,band_pass,True,global_signal,False,connectivity,partial,regularisation,0.25
Universe_104,pipeline,dparsf,parcellation,rois_aal,band_pass,True,global_signal,False,connectivity,partial,regularisation,1.0
Universe_105,pipeline,dparsf,parcellation,rois_aal,band_pass,False,global_signal,True,connectivity,pearson,regularisation,0.25
Universe_106,pipeline,dparsf,parcellation,rois_aal,band_pass,False,global_signal,True,connectivity,pearson,regularisation,1.0
Universe_107,pipeline,dparsf,parcellation,rois_aal,band_pass,False,global_signal,True,connectivity,partial,regularisation,0.25
Universe_108,pipeline,dparsf,parcellation,rois_aal,band_pass,False,global_signal,True,connectivity,partial,regularisation,1.0
Universe_109,pipeline,dparsf,parcellation,rois_aal,band_pass,False,global_signal,False,connectivity,pearson,regularisation,0.25
Universe_110,pipeline,dparsf,parcellation,rois_aal,band_pass,False,global_signal,False,connectivity,pearson,regularisation,1.0
Universe_111,pipeline,dparsf,parcellation,rois_aal,band_pass,False,global_signal,False,connectivity,partial,regularisation,0.25
Universe_112,pipeline,dparsf,parcellation,rois_aal,band_pass,False,global_signal,False,connectivity,partial,regularisation,1.0
Universe_113,pipeline,dparsf,parcellation,rois_cc200,band_pass,True,global_signal,True,connectivity,pearson,regularisation,0.25
Universe_114,pipeline,dparsf,parcellation,rois_cc200,band_pass,True,global_signal,True,connectivity,pearson,regularisation,1.0
Universe_115,pipeline,dparsf,parcellation,rois_cc200,band_pass,True,global_signal,True,connectivity,partial,regularisation,0.25
Universe_116,pipeline,dparsf,parcellation,rois_cc200,band_pass,True,global_signal,True,connectivity,partial,regularisation,1.0
Universe_117,pipeline,dparsf,parcellation,rois_cc200,band_pass,True,global_signal,False,connectivity,pearson,regularisation,0.25
Universe_118,pipeline,dparsf,parcellation,rois_cc200,band_pass,True,global_signal,False,connectivity,pearson,regularisation,1.0
Universe_119,pipeline,dparsf,parcellation,rois_cc200,band_pass,True,global_signal,False,connectivity,partial,regularisation,0.25
Universe_120,pipeline,dparsf,parcellation,rois_cc200,band_pass,True,global_signal,False,connectivity,partial,regularisation,1.0
Universe_121,pipeline,dparsf,parcellation,rois_cc200,band_pass,False,global_signal,True,connectivity,pearson,regularisation,0.25
Universe_122,pipeline,dparsf,parcellation,rois_cc200,band_pass,False,global_signal,True,connectivity,pearson,regularisation,1.0
Universe_123,pipeline,dparsf,parcellation,rois_cc200,band_pass,False,global_signal,True,connectivity,partial,regularisation,0.25
Universe_124,pipeline,dparsf,parcellation,rois_cc200,band_pass,False,global_signal,True,connectivity,partial,regularisation,1.0
Universe_125,pipeline,dparsf,parcellation,rois_cc200,band_pass,False,global_signal,False,connectivity,pearson,regularisation,0.25
Universe_126,pipeline,dparsf,parcellation,rois_cc200,band_pass,False,global_signal,False,connectivity,pearson,regularisation,1.0
Universe_127,pipeline,dparsf,parcellation,rois_cc200,band_pass,False,global_signal,False,connectivity,partial,regularisation,0.25
Universe_128,pipeline,dparsf,parcellation,rois_cc200,band_pass,False,global_signal,False,connectivity,partial,regularisation,1.0
Universe_129,pipeline,dparsf,parcellation,rois_dosenbach160,band_pass,True,global_signal,True,connectivity,pearson,regularisation,0.25
Universe_130,pipeline,dparsf,parcellation,rois_dosenbach160,band_pass,True,global_signal,True,connectivity,pearson,regularisation,1.0
Universe_131,pipeline,dparsf,parcellation,rois_dosenbach160,band_pass,True,global_signal,True,connectivity,partial,regularisation,0.25
Universe_132,pipeline,dparsf,parcellation,rois_dosenbach160,band_pass,True,global_signal,True,connectivity,partial,regularisation,1.0
Universe_133,pipeline,dparsf,parcellation,rois_dosenbach160,band_pass,True,global_signal,False,connectivity,pearson,regularisation,0.25
Universe_134,pipeline,dparsf,parcellation,rois_dosenbach160,band_pass,True,global_signal,False,connectivity,pearson,regularisation,1.0
Universe_135,pipeline,dparsf,parcellation,rois_dosenbach160,band_pass,True,global_signal,False,connectivity,partial,regularisation,0.25
Universe_136,pipeline,dparsf,parcellation,rois_dosenbach160,band_pass,True,global_signal,False,connectivity,partial,regularisation,1.0
Universe_137,pipeline,dparsf,parcellation,rois_dosenbach160,band_pass,False,global_signal,True,connectivity,pearson,regularisation,0.25
Universe_138,pipeline,dparsf,parcellation,rois_dosenbach160,band_pass,False,global_signal,True,connectivity,pearson,regularisation,1.0
Universe_139,pipeline,dparsf,parcellation,rois_dosenbach160,band_pass,False,global_signal,True,connectivity,partial,regularisation,0.25
Universe_140,pipeline,dparsf,parcellation,rois_dosenbach160,band_pass,False,global_signal,True,connectivity,partial,regularisation,1.0
Universe_141,pipeline,dparsf,parcellation,rois_dosenbach160,band_pass,False,global_signal,False,connectivity,pearson,regularisation,0.25
Universe_142,pipeline,dparsf,parcellation,rois_dosenbach160,band_pass,False,global_signal,False,connectivity,pearson,regularisation,1.0
Universe_143,pipeline,dparsf,parcellation,rois_dosenbach160,band_pass,False,global_signal,False,connectivity,partial,regularisation,0.25
Universe_144,pipeline,dparsf,parcellation,rois_dosenbach160,band_pass,False,global_signal,False,connectivity,partial,regularisation,1.0
Universe_145,pipeline,niak,parcellation,rois_aal,band_pass,True,global_signal,True,connectivity,pearson,regularisation,0.25
Universe_146,pipeline,niak,parcellation,rois_aal,band_pass,True,global_signal,True,connectivity,pearson,regularisation,1.0
Universe_147,pipeline,niak,parcellation,rois_aal,band_pass,True,global_signal,True,connectivity,partial,regularisation,0.25
Universe_148,pipeline,niak,parcellation,rois_aal,band_pass,True,global_signal,True,connectivity,partial,regularisation,1.0
Universe_149,pipeline,niak,parcellation,rois_aal,band_pass,True,global_signal,False,connectivity,pearson,regularisation,0.25
Universe_150,pipeline,niak,parcellation,rois_aal,band_pass,True,global_signal,False,connectivity,pearson,regularisation,1.0
Universe_151,pipeline,niak,parcellation,rois_aal,band_pass,True,global_signal,False,connectivity,partial,regularisation,0.25
Universe_152,pipeline,niak,parcellation,rois_aal,band_pass,True,global_signal,False,connectivity,partial,regularisation,1.0
Universe_153,pipeline,niak,parcellation,rois_aal,band_pass,False,global_signal,True,connectivity,pearson,regularisation,0.25
Universe_154,pipeline,niak,parcellation,rois_aal,band_pass,False,global_signal,True,connectivity,pearson,regularisation,1.0
Universe_155,pipeline,niak,parcellation,rois_aal,band_pass,False,global_signal,True,connectivity,partial,regularisation,0.25
Universe_156,pipeline,niak,parcellation,rois_aal,band_pass,False,global_signal,True,connectivity,partial,regularisation,1.0
Universe_157,pipeline,niak,parcellation,rois_aal,band_pass,False,global_signal,False,connectivity,pearson,regularisation,0.25
Universe_158,pipeline,niak,parcellation,rois_aal,band_pass,False,global_signal,False,connectivity,pearson,regularisation,1.0
Universe_159,pipeline,niak,parcellation,rois_aal,band_pass,False,global_signal,False,connectivity,partial,regularisation,0.25
Universe_160,pipeline,niak,parcellation,rois_aal,band_pass,False,global_signal,False,connectivity,partial,regularisation,1.0
Universe_161,pipeline,niak,parcellation,rois_cc200,band_pass,True,global_signal,True,connectivity,pearson,regularisation,0.25
Universe_162,pipeline,niak,parcellation,rois_cc200,band_pass,True,global_signal,True,connectivity,pearson,regularisation,1.0
Universe_163,pipeline,niak,parcellation,rois_cc200,band_pass,True,global_signal,True,connectivity,partial,regularisation,0.25
Universe_164,pipeline,niak,parcellation,rois_cc200,band_pass,True,global_signal,True,connectivity,partial,regularisation,1.0
Universe_165,pipeline,niak,parcellation,rois_cc200,band_pass,True,global_signal,False,connectivity,pearson,regularisation,0.25
Universe_166,pipeline,niak,parcellation,rois_cc200,band_pass,True,global_signal,False,connectivity,pearson,regularisation,1.0
Universe_167,pipeline,niak,parcellation,rois_cc200,band_pass,True,global_signal,False,connectivity,partial,regularisation,0.25
Universe_168,pipeline,niak,parcellation,rois_cc200,band_pass,True,global_signal,False,connectivity,partial,regularisation,1.0
Universe_169,pipeline,niak,parcellation,rois_cc200,band_pass,False,global_signal,True,connectivity,pearson,regularisation,0.25
Universe_170,pipeline,niak,parcellation,rois_cc200,band_pass,False,global_signal,True,connectivity,pearson,regularisation,1.0
Universe_171,pipeline,niak,parcellation,rois_cc200,band_pass,False,global_signal,True,connectivity,partial,regularisation,0.25
Universe_172,pipeline,niak,parcellation,rois_cc200,band_pass,False,global_signal,True,connectivity,partial,regularisation,1.0
Universe_173,pipeline,niak,parcellation,rois_cc200,band_pass,False,global_signal,False,connectivity,pearson,regularisation,0.25
Universe_174,pipeline,niak,parcellation,rois_cc200,band_pass,False,global_signal,False,connectivity,pearson,regularisation,1.0
Universe_175,pipeline,niak,parcellation,rois_cc200,band_pass,False,global_signal,False,connectivity,partial,regularisation,0.25
Universe_176,pipeline,niak,parcellation,rois_cc200,band_pass,False,global_signal,False,connectivity,partial,regularisation,1.0
Universe_177,pipeline,niak,parcellation,rois_dosenbach160,band_pass,True,global_signal,True,connectivity,pearson,regularisation,0.25
Universe_178,pipeline,niak,parcellation,rois_dosenbach160,band_pass,True,global_signal,True,connectivity,pearson,regularisation,1.0
Universe_179,pipeline,niak,parcellation,rois_dosenbach160,band_pass,True,global_signal,True,connectivity,partial,regularisation,0.25
Universe_180,pipeline,niak,parcellation,rois_dosenbach160,band_pass,True,global_signal,True,connectivity,partial,regularisation,1.0
Universe_181,pipeline,niak,parcellation,rois_dosenbach160,band_pass,True,global_signal,False,connectivity,pearson,regularisation,0.25
Universe_182,pipeline,niak,parcellation,rois_dosenbach160,band_pass,True,global_signal,False,connectivity,pearson,regularisation,1.0
Universe_183,pipeline,niak,parcellation,rois_dosenbach160,band_pass,True,global_signal,False,connectivity,partial,regularisation,0.25
Universe_184,pipeline,niak,parcellation,rois_dosenbach160,band_pass,True,global_signal,False,connectivity,partial,regularisation,1.0
Universe_185,pipeline,niak,parcellation,rois_dosenbach160,band_pass,False,global_signal,True,connectivity,pearson,regularisation,0.25
Universe_186,pipeline,niak,parcellation,rois_dosenbach160,band_pass,False,global_signal,True,connectivity,pearson,regularisation,1.0
Universe_187,pipeline,niak,parcellation,rois_dosenbach160,band_pass,False,global_signal,True,connectivity,partial,regularisation,0.25
Universe_188,pipeline,niak,parcellation,rois_dosenbach160,band_pass,False,global_signal,True,connectivity,partial,regularisation,1.0
Universe_189,pipeline,niak,parcellation,rois_dosenbach160,band_pass,False,global_signal,False,connectivity,pearson,regularisation,0.25
Universe_190,pipeline,niak,parcellation,rois_dosenbach160,band_pass,False,global_signal,False,connectivity,pearson,regularisation,1.0
Universe_191,pipeline,niak,parcellation,rois_dosenbach160,band_pass,False,global_signal,False,connectivity,partial,regularisation,0.25
Universe_192,pipeline,niak,parcellation,rois_dosenbach160,band_pass,False,global_signal,False,connectivity,partial,regularisation,1.0
